"Company_Name","Address","Revenue"
"RONSTAN INTERNATIONAL PTY LTD","Braeside,Victoria Australia","$55.36M"
"GEA PROCESS ENGINEERING PTY LTD","Blackburn,Victoria Australia","$55.24M"
"VISY GLAMA PTY LTD","Kilsyth,Victoria Australia","$55.19M"
"ROLLEASE ACMEDA PTY LTD","Broadmeadows,Victoria Australia","$55.18M"
"RESIDENTIA GROUP PTY LTD","Burnley,Victoria Australia","$55.16M"
"KEMPE ENGINEERING PTY LTD","Geelong,Victoria Australia","$54.99M"
"MILESTONE CHEMICALS AUSTRALIA PTY. LTD.","Heidelberg West,Victoria Australia","$54.9M"
"NUTTELEX FOOD PRODUCTS PROPRIETARY LIMITED","Knoxfield,Victoria Australia","$54.83M"
"AUSTRALIAN DAIRY BLENDS HOLDINGS PTY LTD","Keysborough,Victoria Australia","$54.77M"
"AUSTRALIAN DAIRY BLENDS PTY LTD","Keysborough,Victoria Australia","$54.77M"
"THE TRUSTEE FOR REGAL CREAM PRODUCTS TRUST","Derrimut,Victoria Australia","$54.63M"
"SKS TECHNOLOGIES GROUP LIMITED","West Melbourne,Victoria Australia","$54.45M"
"TEXAS PEAK PTY. LTD.","Tullamarine,Victoria Australia","$54.31M"
"MIOMI PTY LTD","Abbotsford,Victoria Australia","$54.27M"
"CLOVER CORPORATION LIMITED","Altona North,Victoria Australia","$54.21M"
"FENNER DUNLOP AUSTRALIA PTY. LTD.","West Footscray,Victoria Australia","$54.09M"
"THE ENVIRONMENTAL GROUP LIMITED","Mount Waverley,Victoria Australia","$54.06M"
"KENTMORE CLOTHING (MANUFACTURING) PTY LTD","Melbourne,Victoria Australia","$53.99M"
"CONCRETE PRECAST SYSTEMS GROUP PTY LTD","Clayton,Victoria Australia","$53.68M"
"BLUESCOPE STEEL AMERICAS HOLDINGS PTY LTD","Melbourne,Victoria Australia","$53.39M"
"RH WINE GROUP PTY LTD","Melbourne,Victoria Australia","$53.33M"
"MOTHERSON LUMEN INNOVATIVE SOLUTIONS PTY LTD","Hallam,Victoria Australia","$53.17M"
"KABA AUSTRALIA PTY LIMITED","Hallam,Victoria Australia","$53.12M"
"DORMAKABA AUSTRALIA PTY LTD","Hallam,Victoria Australia","$53.12M"
"JOHN COTTON AUSTRALIA PTY LTD","Campbellfield,Victoria Australia","$52.88M"
"SAIZERIYA AUSTRALIA PTY. LTD.","Melton South,Victoria Australia","$52.86M"
"MANTZIS HOLDINGS PTY. LTD.","Docklands,Victoria Australia","$52.85M"
"SLEEPEEZEE BEDDING AUSTRALIA PTY. LTD.","Campbellfield,Victoria Australia","$52.85M"
"KOKO BLACK PREMIUM PTY LTD","Coburg North,Victoria Australia","$52.56M"
"KANTFIELD PTY. LTD.","Dandenong,Victoria Australia","$52.44M"
"QENOS PLASTICS PTY LTD","Altona,Victoria Australia","$52.3M"
"QENOS RESINS PTY LTD","Altona,Victoria Australia","$52.3M"
"THE VICTORIA CARPET COMPANY PROPRIETARY LIMITED","Dandenong,Victoria Australia","$52.29M"
"NAVANTIA AUSTRALIA PTY LTD","Sydney,New South Wales Australia","$52.15M"
"FBG VIETNAM HOLDINGS PTY LTD","Melbourne,Victoria Australia","$51.93M"
"BEER AND DRINKS MANAGEMENT PTY LTD","Melbourne,Victoria Australia","$51.91M"
"WESTKON PRECAST CONCRETE PTY LTD","Melton,Victoria Australia","$51.84M"
"DIC AUSTRALIA PTY LIMITED","Moorabbin,Victoria Australia","$51.76M"
"APP-TEK INTERNATIONAL PTY LTD","Scoresby,Victoria Australia","$51.64M"
"RELAY MONITORING SYSTEMS PTY. LTD.","Keysborough,Victoria Australia","$51.59M"
"GREEN'S BISCUITS PTY LTD","Carole Park,Queensland Australia","$51.44M"
"CONCRETE PRECAST SYSTEMS PTY LTD","Mulgrave,Victoria Australia","$51.43M"
"RAMVEK PTY. LTD.","Lynbrook,Victoria Australia","$51.38M"
"SIGMA-ALDRICH OCEANIA PTY LTD","Bayswater,Victoria Australia","$51.36M"
"GARDNER DENVER INDUSTRIES PTY LIMITED","Wetherill Park,New South Wales Australia","$51.31M"
"DIAMOND VALLEY PORK PTY LTD","Laverton North,Victoria Australia","$51.26M"
"CLINUVEL PHARMACEUTICALS LIMITED","Melbourne,Victoria Australia","$51.21M"
"EVOLUTION PRECAST SYSTEMS (NSW) PTY LTD","Glendenning,New South Wales Australia","$51.16M"
"A.C.N. 004 593 953 PTY LTD","Wantirna South,Victoria Australia","$51.04M"
"GRATTAN ST APARTMENTS PTY LTD","Moorabbin,Victoria Australia","$50.9M"
"LANTMANNEN UNIBAKE AUSTRALIA HOLDING PTY LTD","Mordialloc,Victoria Australia","$50.87M"
"H.A. BENNETT & SONS PTY. LIMITED","Kew,Victoria Australia","$50.84M"
"ECCO SAFETY GROUP AUSTRALIA PTY LTD","Truganina,Victoria Australia","$50.76M"
"ASKO APPLIANCES (AUST.) PTY. LTD.","Moorabbin,Victoria Australia","$50.59M"
"UPM RAFLATAC PTY LTD","Dandenong South,Victoria Australia","$50.42M"
"THE TEMORA DELL UNIT TRUST","Coolaroo,Victoria Australia","$50.4M"
"A.G. THOMPSON PROPRIETARY LIMITED","Moorabbin,Victoria Australia","$50.4M"
"HAWLEY NOMINEES PTY. LTD.","Dandenong,Victoria Australia","$50.24M"
"CAGROUP PTY LTD","Thomastown,Victoria Australia","$50.12M"
"I & D GROUP PTY LTD","South Melbourne,Victoria Australia","$50.08M"
"GARACAMA PTY. LTD.","Piangil,Victoria Australia","$50.07M"
"FMP GROUP (AUSTRALIA) PTY LIMITED","Ballarat,Victoria Australia","$49.99M"
"ULTRA MIX (AUST.) PTY. LTD.","Clayton,Victoria Australia","$49.97M"
"ASSOCIATED KILN DRIERS PTY. LIMITED","Colac,Victoria Australia","$49.94M"
"FISHER & PAYKEL HEALTHCARE PTY. LIMITED","Nunawading,Victoria Australia","$49.81M"
"KPJ GROUP (AUS) PTY LTD","Dandenong South,Victoria Australia","$49.8M"
"AHACS PTY LTD","Springvale,Victoria Australia","$49.78M"
"ASALEO HOLDINGS AUSTRALIA PTY LTD","Springvale,Victoria Australia","$49.78M"
"ASALEO PERSONAL CARE (HOLDINGS) PTY LTD","Box Hill,Victoria Australia","$49.78M"
"GLASSWORKS (AUST) PTY LTD","Dandenong South,Victoria Australia","$49.7M"
"CONFOIL PTY. LIMITED","Bayswater,Victoria Australia","$49.62M"
"CCL SECURE PTY LTD","Craigieburn,Victoria Australia","$49.59M"
"SUNNYGOLD AUSTRALIA PTY. LTD.","Irymple,Victoria Australia","$49.58M"
"NORWOOD INDUSTRIES PTY. LIMITED","Hallam,Victoria Australia","$49.56M"
"HENRY HAYMES PROPRIETARY LIMITED","Port Melbourne,Victoria Australia","$49.15M"
"WASTECH ENGINEERING PTY. LTD.","Hallam,Victoria Australia","$49.12M"
"FIBRISOL SERVICE AUSTRALIA PTY. LTD.","Heatherton,Victoria Australia","$49.11M"
"HANES TECHNOLOGY SERVICES AUSTRALIA PTY LTD","Kew,Victoria Australia","$49.07M"
"INVETECH PTY LTD","Mount Waverley,Victoria Australia","$48.68M"
"EMBELTON LIMITED","Coburg North,Victoria Australia","$48.59M"
"VITA LIFE SCIENCES LIMITED","Melbourne,Victoria Australia","$48.45M"
"THE ILUME KITCHEN PTY LTD","Keysborough,Victoria Australia","$48.18M"
"SIME DARBY TRANSPORT HOLDINGS AUSTRALIA PTY LTD","Wacol,Queensland Australia","$47.93M"
"SNOW BRAND AUSTRALIA PTY LTD","Southbank,Victoria Australia","$47.93M"
"CANTIRE FOODS PTY LTD","Thomastown,Victoria Australia","$47.73M"
"SUN SCREEN AUSTRALIA PTY LTD","Mulgrave,Victoria Australia","$47.49M"
"PEDDER'S SHOCK ABSORBER SERVICE PTY. LTD.","Dandenong South,Victoria Australia","$47.34M"
"NIKPOL PTY. LTD.","Heatherton,Victoria Australia","$47.3M"
"EKERA DENTAL PTY LTD","Canterbury,Victoria Australia","$47.25M"
"GOOD FOOD PARTNERS PTY LTD","Rowville,Victoria Australia","$47.16M"
"PHARMACEUTICAL PACKAGING PROFESSIONALS PTY LTD","Moorabbin Airport,Victoria Australia","$47.13M"
"FELTON GRIMWADE & BOSISTO'S PTY LTD","Oakleigh South,Victoria Australia","$47.1M"
"THORNTON ENGINEERING AUSTRALIA PTY LTD","Corio,Victoria Australia","$46.99M"
"FLINT GROUP AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$46.67M"
"EDLYN FOODS PTY. LTD.","Epping,Victoria Australia","$46.57M"
"ALLEN TAYLOR & COMPANY LTD","Regents Park,New South Wales Australia","$46.49M"
"CAPRICE PAPER PRODUCTS PTY LTD","Kilsyth,Victoria Australia","$46.16M"
"J.H. STEPHENSON & SON PTY. LIMITED","Corio,Victoria Australia","$46.14M"
"CULLIS & MCCOMB PTY. LTD.","Cheltenham,Victoria Australia","$46.01M"
"AKD OBERON PTY LIMITED","Colac,Victoria Australia","$45.89M"
"CARIBBEAN BRC PTY LTD","Burleigh Waters,Queensland Australia","$45.75M"
"QUIKSILVER INTERNATIONAL PTY LTD","Burleigh Waters,Queensland Australia","$45.75M"
"AUSTRALIAN IRON & STEEL PTY LTD","Melbourne,Victoria Australia","$45.58M"
"LOTUS FOLDING WALLS AND DOORS PTY LTD","Dandenong South,Victoria Australia","$45.4M"
"CHR. HANSEN PROPRIETARY LIMITED","Bayswater,Victoria Australia","$45.4M"
"SSG AUSTRALIA PTY LTD","Thomastown,Victoria Australia","$45.31M"
"STERIS AUSTRALIA PTY LTD","Heatherton,Victoria Australia","$44.81M"
"PPS HOLDINGS AUSTRALIA PTY LTD","Altona North,Victoria Australia","$44.76M"
"KSUBI SALES INTERNATIONAL PTY LTD","Rosebery,New South Wales Australia","$44.64M"
"HEYFIELD ASH HOLDINGS PTY LTD","Heyfield,Victoria Australia","$44.46M"
"ANDRITZ FABRICS AND ROLLS PTY. LIMITED","Breakwater,Victoria Australia","$44.45M"
"ABEY AUSTRALIA PTY LTD","Cobblebank,Victoria Australia","$44.25M"
"TRUE FOODS PTY LTD","Maryborough,Victoria Australia","$44.22M"
"LABELMAKERS GROUP PTY LTD","Somerton,Victoria Australia","$44.19M"
"STILCON HOLDINGS PTY. LTD.","Sunshine West,Victoria Australia","$43.96M"
"NISSAN CASTING AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$43.84M"
"ABCORP GROUP (AUSTRALASIA) PTY LTD","Dandenong South,Victoria Australia","$43.8M"
"CALLAWAY GOLF SOUTH PACIFIC PTY LTD","Rowville,Victoria Australia","$43.64M"
"COREX PLASTICS (AUSTRALIA) PTY. LTD.","Dandenong,Victoria Australia","$43.51M"
"BARRETT BURSTON MALTING CO. PTY. LTD.","Cremorne,Victoria Australia","$43.26M"
"CHEMRING AUSTRALIA PTY LTD","Lara,Victoria Australia","$43.24M"
"MERCK PTY LTD","Bayswater,Victoria Australia","$43.23M"
"FLEXISTRUT BUILDING SERVICES PTY. LTD.","Belmont,Western Australia Australia","$43.21M"
"BLUE ILLUSION AUSTRALIA PTY. LTD.","St Kilda,Victoria Australia","$43.07M"
"J. FURPHY & SONS PROPRIETARY LIMITED","Shepparton,Victoria Australia","$42.96M"
"METHVEN AUSTRALIA PTY LTD","Pinkenba,Queensland Australia","$42.96M"
"ENTIRE MECHANICAL SERVICES PTY. LTD.","South Melbourne,Victoria Australia","$42.91M"
"AGREVA PTY LTD","Laverton North,Victoria Australia","$42.81M"
"BROWN BROTHERS ENGINEERS AUSTRALIA PTY LTD","Arndell Park,New South Wales Australia","$42.79M"
"ELECTRACOM PTY. LTD.","Dandenong South,Victoria Australia","$42.67M"
"AFL TELECOMMUNICATIONS AUSTRALIA PTY LTD","Croydon South,Victoria Australia","$42.59M"
"PROCESS HOLDINGS PTY LTD","Rowville,Victoria Australia","$42.59M"
"LINGYUN AUSTRALIA PTY. LTD.","South Yarra,Victoria Australia","$42.47M"
"READING TRARALGON PTY LIMITED","South Melbourne,Victoria Australia","$42.45M"
"PHOENIX INDUSTRIES PTY. LTD.","Bayswater,Victoria Australia","$42.27M"
"NEW AGE GROUP HOLDINGS PTY. LTD.","Epping,Victoria Australia","$42.26M"
"CATALENT AUSTRALIA HOLDING PTY LTD","Braeside,Victoria Australia","$42.17M"
"CATALENT AUSTRALIA PTY LTD","Braeside,Victoria Australia","$42.17M"
"FOREVER NEW CLOTHING PTY LTD","Burnley,Victoria Australia","$42.13M"
"STRIPROLL CONSOLIDATED INDUSTRIES PTY. LTD.","Long Gully,Victoria Australia","$42.12M"
"DOLLAR CURTAINS & BLINDS PTY LTD","Kilsyth,Victoria Australia","$42.1M"
"GM FITZROY PTY LTD","Fitzroy,Victoria Australia","$42.04M"
"REDFLEX TRAFFIC SYSTEMS PTY LTD","South Melbourne,Victoria Australia","$42.02M"
"ALLTRUCK BODIES PTY. LTD.","Dandenong,Victoria Australia","$41.99M"
"CAMEC PTY LTD","Dandenong South,Victoria Australia","$41.84M"
"CRANNY DEVELOPMENTS PTY LTD","Dandenong,Victoria Australia","$41.67M"
"I.X.L. INDUSTRIES PTY. LTD.","South Geelong,Victoria Australia","$41.59M"
"HUNTSMAN POLYURETHANES (AUSTRALIA) PTY LTD","Deer Park,Victoria Australia","$41.54M"
"GOLDEN CIRCLE LIMITED","Northgate,Queensland Australia","$41.52M"
"AUSTRALASIAN FOOD GROUP PTY LTD","Mulgrave,Victoria Australia","$41.5M"
"DORMA GLAS PTY LTD","Hallam,Victoria Australia","$41.48M"
"SOULFRESH GLOBAL PTY LTD","Laverton North,Victoria Australia","$41.48M"
"DOTERRA AUSTRALIA PTY LTD","Mulgrave,Victoria Australia","$41.29M"
"COGSTATE LTD","Melbourne,Victoria Australia","$41.15M"
"TYREE CABLE PTY LTD","Dandenong,Victoria Australia","$41.15M"
"WOODS FURNITURE PTY. LTD.","Brooklyn,Victoria Australia","$40.99M"
"ACM PTY. LTD.","Wonga Park,Victoria Australia","$40.96M"
"RELIANCE DOORS PTY LTD","Holden Hill,South Australia Australia","$40.91M"
"SONOCO AUSTRALIA PTY. LTD.","Bulleen,Victoria Australia","$40.88M"
"ACRUX PHARMA PTY LTD","West Melbourne,Victoria Australia","$40.84M"
"AUTEX AUSTRALIA PTY LTD","Richmond,Victoria Australia","$40.77M"
"EDUCATIONAL COLOURS PTY. LIMITED","Bayswater,Victoria Australia","$40.76M"
"CONCEPT CARAVANS PTY. LTD.","Campbellfield,Victoria Australia","$40.73M"
"BAXTER LABORATORIES PTY. LTD.","Boronia,Victoria Australia","$40.67M"
"NATIONAL RESOURCES PTY. LTD.","Carrum Downs,Victoria Australia","$40.52M"
"THE CAKE SYNDICATE PTY LTD","Hallam,Victoria Australia","$40.33M"
"EMMA & TOM FOODS PTY. LTD.","Prahran,Victoria Australia","$40.28M"
"INNER RANGE PTY. LTD.","Knoxfield,Victoria Australia","$40.26M"
"SIGNODE AUSTRALIA PTY LTD","Truganina,Victoria Australia","$40.24M"
"DEFRIES INDUSTRIES PTY LTD","Dandenong South,Victoria Australia","$40.01M"
"SENSIENT TECHNOLOGIES AUSTRALIA PTY LTD","Keysborough,Victoria Australia","$39.99M"
"BDD AUSTRALIA PTY LTD","Docklands,Victoria Australia","$39.95M"
"BRAY CONTROLS PACIFIC PTY LTD","Dandenong South,Victoria Australia","$39.94M"
"AUSTRALASIAN CHILLED FOODS BIDCO PTY LIMITED","Salisbury South,South Australia Australia","$39.81M"
"VEGCO PTY LTD","Bairnsdale,Victoria Australia","$39.8M"
"NETAFIM AUSTRALIA PTY LIMITED","Laverton North,Victoria Australia","$39.77M"
"SILVAN AUSTRALIA PTY LTD","Keysborough,Victoria Australia","$39.76M"
"YAKULT AUSTRALIA PTY. LTD.","Dandenong South,Victoria Australia","$39.76M"
"TOTAL TOOLING CO. PTY. LTD.","Croydon South,Victoria Australia","$39.74M"
"MARCHEM AUSTRALASIA PTY. LTD.","Brooklyn,Victoria Australia","$39.71M"
"BEST FAB PTY. LTD.","Sunshine North,Victoria Australia","$39.58M"
"WELLING & CROSSLEY PTY. LTD.","Brooklyn,Victoria Australia","$39.57M"
"INDUSTRIAL FOOD SERVICES PTY LIMITED","Scoresby,Victoria Australia","$39.45M"
"THE BARRO GROUP TRUST SETTLOR MARIE TERESE WILLEY","Maddingley,Victoria Australia","$39.32M"
"THERMO TRACE PTY LTD","Scoresby,Victoria Australia","$39.3M"
"THERMO GAMMA-METRICS HOLDINGS PTY LTD","Scoresby,Victoria Australia","$39.3M"
"THERMO GAMMA-METRICS PTY LTD","Adelaide Airport,South Australia Australia","$39.3M"
"THOMAS REYNOLDS PROPRIETARY LIMITED","Mulgrave,Victoria Australia","$38.99M"
"FRESH TO GO FOODS PTY LTD","Bayswater,Victoria Australia","$38.85M"
"CONVEYOR PRODUCTS AND SOLUTIONS PTY LTD","Welshpool,Western Australia Australia","$38.84M"
"CHROMAFLO TECHNOLOGIES AUSTRALIA PTY LTD","Dandenong,Victoria Australia","$38.81M"
"CHECKPOINT SYSTEMS (AUST/NZ) PTY LIMITED","Chirnside Park,Victoria Australia","$38.79M"
"FRASER AND JENKINSON PROPRIETARY LIMITED","Scoresby,Victoria Australia","$38.74M"
"HOLLOW CORE CONCRETE PTY. LTD.","Laverton North,Victoria Australia","$38.72M"
"ABCORP AUSTRALASIA PTY LTD","Dandenong South,Victoria Australia","$38.71M"
"NATIONAL ALUMINIUM PTY LTD","Dandenong South,Victoria Australia","$38.62M"
"FLOWSERVE AUSTRALIA PTY. LTD.","Scoresby,Victoria Australia","$38.59M"
"THE ROOFING CENTRE ALBURY/WODONGA PTY. LTD.","North Albury,New South Wales Australia","$38.51M"
"KOKO BLACK AUSTRALIA PTY LTD","Coburg,Victoria Australia","$38.42M"
"CARRIER AUSTRALIA COMMERCIAL HOLDINGS PTY LTD","Dingley Village,Victoria Australia","$38.39M"
"SETEC HOLDINGS PTY LTD","Knoxfield,Victoria Australia","$38.18M"
"TEXTOR PTY LTD","Tullamarine,Victoria Australia","$38.15M"
"QUEST FLOORING PTY LTD","Dandenong South,Victoria Australia","$38.08M"
"AURORA AUSTRALIS HOLDINGS PTY LTD","Clayton South,Victoria Australia","$37.96M"
"TRAFFIC TECHNOLOGIES LTD","Fairfield,Victoria Australia","$37.96M"
"SUNPOWER CORPORATION AUSTRALIA PTY LIMITED","Elsternwick,Victoria Australia","$37.85M"
"SCHIAVELLO MANUFACTURING PTY LTD","Tullamarine,Victoria Australia","$37.82M"
"CCL SECURE (HOLDING) PTY LTD","Craigieburn,Victoria Australia","$37.81M"
"TRELLEBORG MARINE SYSTEMS AUSTRALIA PTY LTD","Clayton,Victoria Australia","$37.79M"
"MATERIALS HANDLING LIFTING SOLUTIONS PTY LTD","Moe,Victoria Australia","$37.68M"
"PORTA ENTERPRISES PTY LTD","Fairfield,Victoria Australia","$37.58M"
"VALMET PTY LTD","Braybrook,Victoria Australia","$37.43M"
"ITW AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$37.38M"
"QENOS ELASTOMERS PTY LTD","Altona,Victoria Australia","$37.24M"
"OLEFINES PTY. LTD.","Altona,Victoria Australia","$37.24M"
"KINGSPAN INSULATION PTY LTD","Somerton,Victoria Australia","$37.16M"
"COMMTEL NETWORK SOLUTIONS PTY LTD","Keilor Park,Victoria Australia","$37.09M"
"AVENGA PTY. LTD.","Pakenham,Victoria Australia","$36.85M"
"LEGEND LINEN AUSTRALIA PTY LTD","Brookvale,New South Wales Australia","$36.72M"
"AUSTRALIAN DRIED FRUITS PRODUCTS PTY. LTD.","Irymple,Victoria Australia","$36.59M"
"SUNBEAM FOODS AUSTRALIA PTY LTD","Irymple,Victoria Australia","$36.59M"
"SUNBEAM FOODS GROUP LIMITED","Irymple,Victoria Australia","$36.59M"
"SUNBEAM FOOD HOLDINGS PTY LTD","Irymple,Victoria Australia","$36.59M"
"MILDURA FARMERS COMPANY PTY. LTD.","Irymple,Victoria Australia","$36.59M"
"ANGAS PARK FRUIT COMPANY PTY. LIMITED","Irymple,Victoria Australia","$36.59M"
"READING ALTONA PTY LTD","South Melbourne,Victoria Australia","$36.53M"
"AUSTRALIAN GLASS GROUP FINANCE COMPANY PTY LTD","Knoxfield,Victoria Australia","$36.44M"
"KILARGO PTY LTD","Banyo,Queensland Australia","$36.43M"
"BREWERY YARD PTY LTD","South Yarra,Victoria Australia","$36.42M"
"FANTECH PTY. LTD.","Dandenong South,Victoria Australia","$36.35M"
"SUPERIOR ENERGY SERVICES (AUSTRALIA) PTY LTD","Wurruk,Victoria Australia","$36.23M"
"SIMPLOT TCF PTY LTD","Laverton North,Victoria Australia","$36.19M"
"THE HEAT GROUP PTY LTD","Dandenong South,Victoria Australia","$36.14M"
"KEPPEL PRINCE ENGINEERING PTY LTD","Portland,Victoria Australia","$36.12M"
"WINCHESTER AUSTRALIA LIMITED","Moolap,Victoria Australia","$36.05M"
"KOOKABURRA SPORT PTY. LTD.","Moorabbin,Victoria Australia","$36M"
"GLENBROOK HOLDINGS PTY. LTD.","Melbourne,Victoria Australia","$35.99M"
"BLUESCOPE APT HOLDINGS PTY LTD","Melbourne,Victoria Australia","$35.99M"
"EASY LIQUIDS PTY LTD","Southbank,Victoria Australia","$35.98M"
"NUDE BY NATURE PTY LTD","Sydney,New South Wales Australia","$35.88M"
"C.E. BARTLETT PROPRIETARY LIMITED","Wendouree,Victoria Australia","$35.87M"
"MELROSE LABORATORIES PTY. LTD.","Mount Waverley,Victoria Australia","$35.78M"
"FLINT CPS INKS AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$35.72M"
"GRAY-NICOLLS SPORTS PTY LTD","Cheltenham,Victoria Australia","$35.59M"
"E-STEEL (AUST) PTY LTD","Dandenong South,Victoria Australia","$35.47M"
"BELLVIEW CORPORATION PTY LTD","Reservoir,Victoria Australia","$35.42M"
"DAYCO AUSTRALIA PTY LIMITED","Hallam,Victoria Australia","$35.38M"
"NATIONAL INDUSTRIES PTY LTD","Campbellfield,Victoria Australia","$35.32M"
"ACN 004 747 942 PTY LTD","Braeside,Victoria Australia","$35.29M"
"FESTO PTY. LIMITED","Noble Park,Victoria Australia","$35.27M"
"LOTUS CARAVANS PTY LTD","Maddington,Western Australia Australia","$35.26M"
"TWOAY HOLDINGS PROPRIETARY LIMITED","Knoxfield,Victoria Australia","$35.18M"
"LETTELA PTY. LIMITED","Airport West,Victoria Australia","$35.15M"
"BRIGHTON-BEST INTERNATIONAL (AU) PTY LTD","Braeside,Victoria Australia","$35.04M"
"GROVE (AUST) PTY LTD","Pakenham,Victoria Australia","$35M"
"PORTA MOULDINGS PTY. LTD.","Fairfield,Victoria Australia","$34.94M"
"SLEEPING DUCK PTY. LTD.","Prahran,Victoria Australia","$34.89M"
"The trustee for the Niksoma Family Trust & THE TRUSTEE FOR WAIPOUNAMU FAMILY TRUST","Greensborough,Victoria Australia","$34.77M"
"HEADLAND TECHNOLOGY PTY LTD","Burwood,Victoria Australia","$34.77M"
"WEATHERBEETA PTY LTD","Dandenong South,Victoria Australia","$34.75M"
"POLYMASTER PTY LTD","Swan Hill,Victoria Australia","$34.59M"
"POLYMASTER GROUP PTY LTD","Swan Hill,Victoria Australia","$34.59M"
"HERITAGE BRANDS LTD","Springvale,Victoria Australia","$34.58M"
"RYCO HYDRAULICS PTY LTD","Derrimut,Victoria Australia","$34.55M"
"ELECTRO CHEMICAL ENGINEERING PROPRIETARY LIMITED","Notting Hill,Victoria Australia","$34.46M"
"JOTUN AUSTRALIA PTY LTD","Derrimut,Victoria Australia","$34.46M"
"TAGHLEEF INDUSTRIES PTY LTD","Wodonga,Victoria Australia","$34.36M"
"TI ASIA PACIFIC PTY LTD","Wodonga,Victoria Australia","$34.36M"
"D & D TECHNOLOGIES PTY. LIMITED","Frenchs Forest,New South Wales Australia","$34.22M"
"ASSA ABLOY AUSTRALIA PTY LIMITED","Oakleigh,Victoria Australia","$34.22M"
"HEINZ WATTIE'S PTY LTD","Southbank,Victoria Australia","$34.1M"
"CEREBOS (AUSTRALIA) LIMITED","Seven Hills,New South Wales Australia","$34.1M"
"H.J. HEINZ COMPANY AUSTRALIA LIMITED","Southbank,Victoria Australia","$34.1M"
"VAN HESSEN AUSTRALIA PTY LTD","Wangaratta South,Victoria Australia","$33.97M"
"QIAGEN PTY LTD","Clayton,Victoria Australia","$33.95M"
"TEMPUR AUSTRALIA PTY LTD","Carrum Downs,Victoria Australia","$33.94M"
"VISION GROUP OF COMPANIES PTY. LTD.","Melbourne,Victoria Australia","$33.82M"
"AUSTECH WIRE & CABLE PTY LTD","Braeside,Victoria Australia","$33.8M"
"AIR AFFAIRS (AUSTRALIA) PTY. LTD.","Yerriyong,New South Wales Australia","$33.74M"
"INSIGNIA PTY LTD","Wakerley,Queensland Australia","$33.61M"
"AUSCHEM PACIFIC GROUP PTY LTD","Clayton South,Victoria Australia","$33.42M"
"PLUSH-THINK SOFAS PTY LTD","Clayton South,Victoria Australia","$33.42M"
"VISY PACKAGING PROPERTIES PTY. LTD.","Southbank,Victoria Australia","$33.23M"
"SWC BF CONSTRUCTIONS PTY LTD","Brooklyn,Victoria Australia","$33.12M"
"FROZEN BAKERY SOLUTIONS PTY LTD","Braeside,Victoria Australia","$33.01M"
"FUSION RETAIL BRANDS PTY LTD","Abbotsford,Victoria Australia","$32.93M"
"ARARAT WIND FARM PTY LTD","Ararat,Victoria Australia","$32.92M"
"IXL HOME PTY LTD","Abbotsford,Victoria Australia","$32.78M"
"MAGNETIC AUTOMATION PTY. LTD.","Campbellfield,Victoria Australia","$32.64M"
"HYDRO-CHEM PTY. LTD.","Braeside,Victoria Australia","$32.57M"
"WEBFORGE AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$32.56M"
"LOVELL SURGICAL SUPPLIES INTERNATIONAL PTY LTD","Clayton,Victoria Australia","$32.48M"
"TONE ENTERPRISES PTY LTD","Benalla,Victoria Australia","$32.44M"
"DOREL AUSTRALIA HOLDINGS PTY LTD","Sunshine West,Victoria Australia","$32.42M"
"MODERNA AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$32.36M"
"BRIVIS CLIMATE SYSTEMS PTY LTD","Keysborough,Victoria Australia","$32.14M"
"VISY GLASS INTERNATIONAL PTY LTD","Southbank,Victoria Australia","$31.97M"
"GEELONG LEATHER PTY. LTD.","Laverton North,Victoria Australia","$31.95M"
"DUNBIER MARINE PRODUCTS PTY. LTD.","Braeside,Victoria Australia","$31.84M"
"MACQUARRIE CORPORATION PTY. LTD.","Port Melbourne,Victoria Australia","$31.81M"
"EVOLUTION RAIL PTY LTD","Melbourne,Victoria Australia","$31.76M"
"DAIR INDUSTRIES VIC PTY LTD","Lyndhurst,Victoria Australia","$31.74M"
"HOLMES NOMINEES (AUST) PTY. LTD.","Breakwater,Victoria Australia","$31.72M"
"MSSL AUSTRALIA PTY LTD","Mulgrave,Victoria Australia","$31.71M"
"PRIMA FURNITURE (AUST) PTY. LTD.","Tullamarine,Victoria Australia","$31.65M"
"MURRAY RIVER ORGANICS GROUP LIMITED","Dandenong South,Victoria Australia","$31.64M"
"GRAPHIC PACKAGING INTERNATIONAL AUSTRALIA CONVERTING LTD","Braeside,Victoria Australia","$31.59M"
"WASTECH GROUP PTY LIMITED","Hallam,Victoria Australia","$31.58M"
"STODDART (VICTORIA) PTY LTD","Lynbrook,Victoria Australia","$31.51M"
"AUSTRALIAN LOCK COMPANY PTY LTD","Unanderra,New South Wales Australia","$31.34M"
"BATA SHOE COMPANY OF AUSTRALIA PTY. LIMITED","Mornington,Victoria Australia","$31.31M"
"THE PASTORAL PORK COMPANY PTY. LTD.","Newtown,Victoria Australia","$31.27M"
"HORIZON AUTOMATIC DOORS PTY LTD","Hallam,Victoria Australia","$31.2M"
